arrived_at,num_prefill_tokens,num_decode_tokens
0.006827693844968508,256,1
0.0652406536707506,256,1
0.08069312998673084,256,1
0.15258112765232923,256,1
0.19133649845435308,256,1
0.2196704255028159,256,1
0.22622532938543216,256,1
0.31229288205079087,256,1
0.3429553597006585,256,1
0.42695223602082777,256,1
0.49738726939980715,256,1
0.5706949002345585,256,1
0.5868115108955241,256,1
0.6333228369558519,256,1
0.6832534325494244,256,1
0.6861925971481941,256,1
0.8884041054964875,256,1
1.0052103836027282,256,1
1.0671865433195205,256,1
1.1772178961122037,256,1
1.1968220603012725,256,1
1.2288202818690142,256,1
1.3002659272972394,256,1
1.3239348649810356,256,1
1.4073183321942295,256,1
1.4469923300043153,256,1
1.457238197570021,256,1
1.481287741163806,256,1
1.5578953072737267,256,1
1.6326149780649057,256,1
1.7011122992836913,256,1
1.715882270975655,256,1
1.795982739142099,256,1
1.8269392050914046,256,1
1.8463096621816,256,1
1.9259323209932955,256,1
1.9343433387001507,256,1
1.9897465536883097,256,1
2.077340416337803,256,1
2.111503064107545,256,1
2.1534417437174547,256,1
2.1627530893559843,256,1
2.1766549489729226,256,1
2.2507741638900125,256,1
2.294654431652976,256,1
2.2981357342450437,256,1
2.482688191899607,256,1
2.549396050994046,256,1
2.8014267301541107,256,1
2.8459119800150923,256,1
2.867706091062683,256,1
2.8938432200078523,256,1
2.9609257150789325,256,1
2.9987400931428265,256,1
3.115858206839217,256,1
3.119331383168422,256,1
3.1601415128842625,256,1
3.176404100666419,256,1
3.335783554581484,256,1
3.366470116702036,256,1
3.4168367573552683,256,1
3.489044629982052,256,1
3.5047291840033523,256,1
3.5989659630355497,256,1
3.739206277554352,256,1
3.7535250945675003,256,1
3.7748176265851807,256,1
3.8037386007842677,256,1
3.8653860280154273,256,1
3.9053815445419637,256,1
3.9111373732245713,256,1
3.9403745361110243,256,1
3.9502243116030566,256,1
3.9761128031498227,256,1
4.0201310928168255,256,1
4.039010026241918,256,1
4.044097092358934,256,1
4.0809518332439065,256,1
4.151544608717739,256,1
4.165652932312591,256,1
4.2300697521848285,256,1
4.252017655387164,256,1
4.263285315681031,256,1
4.461514088423346,256,1
4.51625441584067,256,1
4.555296412240217,256,1
4.768449829069654,256,1
4.782316517789464,256,1
4.817417919080391,256,1
4.922697978222024,256,1
4.98284533502944,256,1
4.983835387792412,256,1
4.988177596479826,256,1
5.055450840806763,256,1
5.059020842271211,256,1
5.083286901916884,256,1
5.096334837588534,256,1
5.1274914784029235,256,1
5.148708362521326,256,1
5.157249562554034,256,1
5.2713783723669305,256,1
5.290909201004768,256,1
5.294460389121269,256,1
5.405112015181501,256,1
5.486480362887436,256,1
5.530776966032702,256,1
5.579986561593797,256,1
5.616967952707208,256,1
5.693301912811011,256,1
